co_3;voc_4;c2h5oh_3;c2h5oh_4;no2_2;voc_2;no2_3;voc_3;voc_1;co_2;c2h5oh_1;no2_4;no2_1;co_4;co_1;c2h5oh_2;dateTime;Injection
834.0;498.0;618.0;599.0;131.0;573.0;157.0;602.0;641.0;893.0;644.0;178.0;213.0;959.0;810.0;616.0;2026-07-14T14:38:45;0.0
833.0;498.0;617.0;599.0;131.0;573.0;157.0;603.0;641.0;893.0;644.0;178.0;212.0;960.0;811.0;617.0;2026-07-14T14:38:46;0.0
836.0;498.0;617.0;599.0;131.0;573.0;158.0;603.0;642.0;893.0;644.0;178.0;211.0;960.0;810.0;617.0;2026-07-14T14:38:47;0.0
834.0;497.0;617.0;598.0;131.0;573.0;159.0;603.0;642.0;894.0;644.0;178.0;212.0;959.0;811.0;617.0;2026-07-14T14:38:48;0.0
835.0;498.0;617.0;599.0;131.0;573.0;158.0;602.0;641.0;893.0;644.0;178.0;212.0;959.0;811.0;617.0;2026-07-14T14:38:49;0.0
835.0;498.0;617.0;598.0;131.0;573.0;158.0;602.0;641.0;893.0;644.0;179.0;212.0;960.0;811.0;617.0;2026-07-14T14:38:50;0.0
834.0;497.0;618.0;598.0;131.0;573.0;158.0;603.0;642.0;894.0;644.0;178.0;212.0;959.0;810.0;616.0;2026-07-14T14:38:51;0.0
834.0;498.0;617.0;598.0;131.0;572.0;158.0;603.0;642.0;894.0;643.0;178.0;213.0;959.0;811.0;616.0;2026-07-14T14:38:52;0.0
835.0;497.0;618.0;598.0;131.0;573.0;158.0;603.0;641.0;893.0;644.0;178.0;212.0;960.0;810.0;617.0;2026-07-14T14:38:53;0.0
834.0;497.0;617.0;599.0;131.0;572.0;157.0;603.0;641.0;894.0;644.0;178.0;212.0;959.0;810.0;616.0;2026-07-14T14:38:54;0.0
834.0;497.0;618.0;598.0;131.0;573.0;158.0;603.0;642.0;893.0;644.0;178.0;212.0;960.0;810.0;616.0;2026-07-14T14:38:55;0.0
834.0;498.0;618.0;599.0;130.0;573.0;158.0;603.0;641.0;893.0;644.0;177.0;212.0;959.0;810.0;616.0;2026-07-14T14:38:56;0.0
834.0;497.0;618.0;598.0;131.0;572.0;157.0;603.0;641.0;893.0;644.0;178.0;212.0;959.0;811.0;616.0;2026-07-14T14:38:57;0.0
834.0;497.0;617.0;598.0;131.0;573.0;157.0;603.0;641.0;894.0;644.0;177.0;212.0;959.0;811.0;616.0;2026-07-14T14:38:58;0.0
834.0;497.0;617.0;599.0;130.0;573.0;158.0;602.0;642.0;894.0;644.0;178.0;212.0;959.0;811.0;617.0;2026-07-14T14:38:59;0.0
835.0;497.0;617.0;599.0;131.0;573.0;158.0;603.0;640.0;894.0;644.0;178.0;213.0;959.0;811.0;617.0;2026-07-14T14:39:00;0.0
835.0;498.0;618.0;598.0;130.0;573.0;158.0;603.0;641.0;893.0;644.0;178.0;212.0;959.0;810.0;617.0;2026-07-14T14:39:01;0.0
834.0;497.0;617.0;599.0;131.0;572.0;157.0;602.0;641.0;893.0;644.0;178.0;212.0;960.0;811.0;616.0;2026-07-14T14:39:02;0.0
834.0;497.0;617.0;599.0;131.0;573.0;158.0;603.0;641.0;894.0;644.0;178.0;212.0;960.0;811.0;616.0;2026-07-14T14:39:03;0.0
834.0;497.0;617.0;598.0;130.0;573.0;157.0;602.0;641.0;893.0;643.0;178.0;211.0;959.0;811.0;617.0;2026-07-14T14:39:04;0.0
834.0;498.0;617.0;598.0;131.0;572.0;158.0;602.0;640.0;893.0;644.0;177.0;212.0;959.0;811.0;617.0;2026-07-14T14:39:05;0.0
835.0;497.0;618.0;599.0;130.0;572.0;157.0;603.0;640.0;893.0;644.0;177.0;211.0;959.0;811.0;617.0;2026-07-14T14:39:06;1.0
834.0;497.0;617.0;598.0;131.0;573.0;158.0;603.0;640.0;894.0;644.0;178.0;212.0;960.0;811.0;616.0;2026-07-14T14:39:07;0.0
835.0;498.0;618.0;599.0;131.0;572.0;157.0;602.0;641.0;893.0;643.0;178.0;213.0;959.0;811.0;616.0;2026-07-14T14:39:08;0.0
834.0;498.0;617.0;599.0;131.0;573.0;157.0;603.0;641.0;893.0;644.0;178.0;212.0;960.0;810.0;617.0;2026-07-14T14:39:09;0.0
835.0;497.0;618.0;599.0;131.0;573.0;157.0;603.0;641.0;893.0;644.0;178.0;212.0;959.0;811.0;617.0;2026-07-14T14:39:10;0.0
834.0;498.0;617.0;598.0;131.0;572.0;158.0;602.0;641.0;893.0;644.0;178.0;212.0;959.0;811.0;616.0;2026-07-14T14:39:11;0.0
835.0;497.0;618.0;599.0;130.0;573.0;157.0;603.0;641.0;894.0;644.0;178.0;212.0;960.0;810.0;616.0;2026-07-14T14:39:12;0.0
834.0;498.0;617.0;599.0;131.0;573.0;158.0;603.0;641.0;893.0;644.0;178.0;212.0;958.0;811.0;616.0;2026-07-14T14:39:13;0.0
835.0;498.0;617.0;599.0;130.0;573.0;157.0;603.0;642.0;893.0;644.0;177.0;212.0;960.0;811.0;616.0;2026-07-14T14:39:14;0.0
834.0;497.0;618.0;598.0;130.0;573.0;157.0;602.0;641.0;894.0;643.0;178.0;211.0;959.0;811.0;617.0;2026-07-14T14:39:15;0.0
836.0;497.0;618.0;599.0;130.0;573.0;157.0;602.0;642.0;893.0;644.0;177.0;212.0;958.0;810.0;617.0;2026-07-14T14:39:16;0.0
835.0;497.0;617.0;599.0;130.0;572.0;158.0;602.0;641.0;893.0;643.0;178.0;212.0;960.0;811.0;616.0;2026-07-14T14:39:17;0.0
835.0;497.0;617.0;597.0;130.0;572.0;157.0;603.0;641.0;894.0;643.0;177.0;212.0;959.0;810.0;616.0;2026-07-14T14:39:18;0.0
836.0;498.0;617.0;598.0;130.0;572.0;157.0;602.0;641.0;894.0;644.0;178.0;212.0;960.0;811.0;616.0;2026-07-14T14:39:19;0.0
835.0;498.0;618.0;597.0;130.0;573.0;157.0;602.0;641.0;894.0;644.0;178.0;212.0;959.0;810.0;616.0;2026-07-14T14:39:20;0.0
