T_BME5;H_BME5;S1_CO2;S2_CO2;S3_CO2;S4_CO2;dateTime;Injection
25.5;50.1;703.0;696.0;735.0;745.0;2026-06-11T13:07:23;0.0
25.5;50.1;704.0;698.0;737.0;742.0;2026-06-11T13:07:28;0.0
25.6;50.1;704.0;696.0;737.0;741.0;2026-06-11T13:07:33;0.0
25.6;50.1;702.0;696.0;740.0;739.0;2026-06-11T13:07:38;0.0
25.6;50.1;701.0;694.0;742.0;739.0;2026-06-11T13:07:43;1.0
25.6;50.1;701.0;695.0;739.0;739.0;2026-06-11T13:07:48;0.0
