T_BME5;H_BME5;S1_CO2;S2_CO2;S3_CO2;S4_CO2;dateTime;Injection
24.3;42.9;1045.0;1055.0;1089.0;1111.0;2026-05-15T16:03:32;0.0
24.3;42.7;1046.0;1055.0;1085.0;1114.0;2026-05-15T16:03:37;0.0
24.2;42.6;1047.0;1056.0;1084.0;1115.0;2026-05-15T16:03:42;0.0
24.2;42.5;1049.0;1056.0;1090.0;1111.0;2026-05-15T16:03:47;0.0
24.2;42.6;1049.0;1055.0;1117.0;1087.0;2026-05-15T16:03:52;0.0
24.2;42.8;1050.0;1056.0;1121.0;1064.0;2026-05-15T16:03:57;0.0
24.2;42.6;1050.0;1057.0;1121.0;1066.0;2026-05-15T16:04:02;0.0
24.2;42.7;1050.0;1060.0;1114.0;1070.0;2026-05-15T16:04:07;0.0
