T_BME5;H_BME5;S1_CO2;S2_CO2;S3_CO2;S4_CO2;dateTime;Injection
24.7;49.4;768.0;758.0;784.0;796.0;2026-05-22T13:36:02;0.0
24.7;49.4;766.0;757.0;788.0;794.0;2026-05-22T13:36:07;0.0
24.7;49.4;767.0;757.0;789.0;792.0;2026-05-22T13:36:12;0.0
24.7;49.4;765.0;759.0;789.0;791.0;2026-05-22T13:36:18;1.0
24.8;49.4;765.0;757.0;789.0;790.0;2026-05-22T13:36:22;0.0
24.8;49.4;763.0;759.0;789.0;790.0;2026-05-22T13:36:28;0.0
